,MENTHLTH,PHYSHLTH,EXERANY2,_TOTINDA,_SMOKER3,_DRNKWK3,_BMI5,_BMI5CAT,_AGE80,SEXVAR,EDUCA,INCOME3,EMPLOY1,_HLTHPL2,PERSDOC3,CHECKUP1,mental_risk
MENTHLTH,1.0,0.32465431999860356,0.11772545246018096,0.11772736645515841,-0.13156446167346725,0.031035655289654934,0.07925538979872089,0.042970154684514345,-0.1811914159619276,0.08931457406923432,-0.08163354434133255,-0.16972405682213648,0.0005344357677371671,0.05503570721863027,0.07639552216365192,0.05000063181965912,0.9057040577453889
PHYSHLTH,0.32465431999860356,1.0,0.2512525355387862,0.2512561345504334,-0.1345092573795048,-0.01980853445225119,0.10805033613299006,0.07088155200453548,0.09811539554899455,0.04703579738767317,-0.12195061624019206,-0.22973907038006958,0.2205383656570411,-0.0023490722598614026,0.04956754052249881,-0.05088542179108701,0.2954363252157967
EXERANY2,0.11772545246018096,0.2512525355387862,1.0,0.9999807050946272,-0.12606624069864514,-0.024853084867760746,0.14784798082183037,0.11438460576675342,0.12118243234436456,0.06251500482172788,-0.20107378430904704,-0.234642938670635,0.14550531452917861,0.030026714524605168,0.01282336401038133,-0.01889565314327724,0.11392507243130696
_TOTINDA,0.11772736645515841,0.2512561345504334,0.9999807050946272,1.0,-0.12604828732755283,-0.024853084867760746,0.1478344660083972,0.11438460576675342,0.12117519331133096,0.06251500482172788,-0.2010820021340783,-0.2346462185268619,0.14550531452917861,0.030026714524605168,0.012834955666455103,-0.018913903213382783,0.11392507243130696
_SMOKER3,-0.13156446167346725,-0.1345092573795048,-0.12606624069864514,-0.12604828732755283,1.0,-0.1190706767701971,0.012500004718181764,0.014205125662688256,-0.07336276609414363,0.04060487239695477,0.21135840489894228,0.1937164027549663,-0.08439896547217192,-0.0511656275452563,-0.031115150332951032,-0.05361042270853911,-0.12290933963218828
_DRNKWK3,0.031035655289654934,-0.01980853445225119,-0.024853084867760746,-0.024853084867760746,-0.1190706767701971,1.0,-0.0300155315851469,-0.023805684733834872,-0.0489957281815103,-0.12338602201304319,-0.0035588841833312083,0.0595084736851807,-0.057241824498517946,0.03770140833146116,0.03207656792114334,0.0678852339466246,0.0264614205780836
_BMI5,0.07925538979872089,0.10805033613299006,0.14784798082183037,0.1478344660083972,0.012500004718181764,-0.0300155315851469,1.0,0.8266141974710802,-0.015514052793410503,0.006367048169586492,-0.08056502840936876,-0.0714385198019925,-0.01885913148008115,-0.004493356435002793,-0.03204119176927936,-0.05779490664087277,0.0735155244500811
_BMI5CAT,0.042970154684514345,0.07088155200453548,0.11438460576675342,0.11438460576675342,0.014205125662688256,-0.023805684733834872,0.8266141974710802,1.0,0.014655439799183916,-0.04018712614884826,-0.06938173503382042,-0.03672278699091558,-0.02478266952974252,-0.0099742430919068,-0.03627267964390308,-0.05912917583252886,0.04184797768480782
_AGE80,-0.1811914159619276,0.09811539554899455,0.12118243234436456,0.12117519331133096,-0.07336276609414363,-0.0489957281815103,-0.015514052793410503,0.014655439799183916,1.0,0.04493576772498102,0.01548644270741419,-0.08919268011929762,0.5721233201004169,-0.17945664862094987,-0.16172537222498856,-0.24197157212001486,-0.13839074621788877
SEXVAR,0.08931457406923432,0.04703579738767317,0.06251500482172788,0.06251500482172788,0.04060487239695477,-0.12338602201304319,0.006367048169586492,-0.04018712614884826,0.04493576772498102,1.0,0.03228951398852755,-0.11289287594320722,0.07691586031018224,-0.039010552674139796,-0.04144659511374364,-0.10635334070796229,0.07250851614619445
