Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
COLGHOUS,float64,457670,14,457656,99.9969,PARTIALLY MISSING
CSRVCTL2,float64,457670,582,457088,99.8728,PARTIALLY MISSING
ICFQSTVR,float64,457670,739,456931,99.8385,PARTIALLY MISSING
CCLGHOUS,float64,457670,1426,456244,99.6884,PARTIALLY MISSING
HPVDSHT,float64,457670,2020,455650,99.5586,PARTIALLY MISSING
CSRVINST,float64,457670,2625,455045,99.4264,PARTIALLY MISSING
NOBCUSE8,float64,457670,2771,454899,99.3945,PARTIALLY MISSING
LASTSIG4,float64,457670,3227,454443,99.2949,PARTIALLY MISSING
CSRVCLIN,float64,457670,3542,454128,99.2261,PARTIALLY MISSING
CSRVDEIN,float64,457670,3544,454126,99.2256,PARTIALLY MISSING
CSRVINSR,float64,457670,3547,454123,99.225,PARTIALLY MISSING
CSRVRTRN,float64,457670,3552,454118,99.2239,PARTIALLY MISSING
CSRVSUM,float64,457670,3556,454114,99.223,PARTIALLY MISSING
CSRVDOC1,float64,457670,3562,454108,99.2217,PARTIALLY MISSING
HPVADSH1,float64,457670,3627,454043,99.2075,PARTIALLY MISSING
CASTHNO2,float64,457670,4805,452865,98.9501,PARTIALLY MISSING
NUMPHON4,float64,457670,5622,452048,98.7716,PARTIALLY MISSING
CSRVPAIN,float64,457670,6006,451664,98.6877,PARTIALLY MISSING
CSRVTRT3,float64,457670,6355,451315,98.6114,PARTIALLY MISSING
SHINGLE2,float64,457670,7916,449754,98.2704,PARTIALLY MISSING
USEMRJN4,float64,457670,8378,449292,98.1694,PARTIALLY MISSING
PSASUGS1,float64,457670,8972,448698,98.0396,PARTIALLY MISSING
PCPSARS2,float64,457670,8989,448681,98.0359,PARTIALLY MISSING
PSATIME1,float64,457670,9005,448665,98.0324,PARTIALLY MISSING
VCLNTES2,float64,457670,10125,447545,97.7877,PARTIALLY MISSING
TETANUS1,float64,457670,11377,446293,97.5141,PARTIALLY MISSING
LOADULK2,float64,457670,12093,445577,97.3577,PARTIALLY MISSING
TYPCNTR9,float64,457670,12184,445486,97.3378,PARTIALLY MISSING
MENTECIG,float64,457670,12878,444792,97.1862,PARTIALLY MISSING
CDSOCIA1,float64,457670,13017,444653,97.1558,PARTIALLY MISSING
CDHOUS1,float64,457670,13034,444636,97.1521,PARTIALLY MISSING
CDDISCU1,float64,457670,13050,444620,97.1486,PARTIALLY MISSING
CDWORRY,float64,457670,13063,444607,97.1458,PARTIALLY MISSING
FEETSORE,float64,457670,13792,443878,96.9865,PARTIALLY MISSING
DIABEDU1,float64,457670,13797,443873,96.9854,PARTIALLY MISSING
DIABEYE1,float64,457670,13800,443870,96.9847,PARTIALLY MISSING
EYEEXAM1,float64,457670,13804,443866,96.9839,PARTIALLY MISSING
CHKHEMO3,float64,457670,13811,443859,96.9823,PARTIALLY MISSING
INSULIN1,float64,457670,13815,443855,96.9814,PARTIALLY MISSING
DIABTYPE,float64,457670,13818,443852,96.9808,PARTIALLY MISSING
CNCRTYP2,float64,457670,14428,443242,96.8475,PARTIALLY MISSING
CNCRAGE,float64,457670,14448,443222,96.8431,PARTIALLY MISSING
CNCRDIFF,float64,457670,14872,442798,96.7505,PARTIALLY MISSING
PFPPRVN4,float64,457670,15113,442557,96.6978,PARTIALLY MISSING
HPVADVC4,float64,457670,16702,440968,96.3506,PARTIALLY MISSING
PCSTALK2,float64,457670,17474,440196,96.182,PARTIALLY MISSING
SDNATES1,float64,457670,17493,440177,96.1778,PARTIALLY MISSING
BLDSTFIT,float64,457670,17549,440121,96.1656,PARTIALLY MISSING
PSATEST1,float64,457670,17579,440091,96.159,PARTIALLY MISSING
CRGVALZD,float64,457670,18626,439044,95.9303,PARTIALLY MISSING
MARJOTHR,float64,457670,19451,438219,95.75,PARTIALLY MISSING
MARJDAB,float64,457670,19459,438211,95.7482,PARTIALLY MISSING
MARJVAPE,float64,457670,19466,438204,95.7467,PARTIALLY MISSING
MARJEAT,float64,457670,19476,438194,95.7445,PARTIALLY MISSING
MARJSMOK,float64,457670,19494,438176,95.7406,PARTIALLY MISSING
HADSEX,float64,457670,20419,437251,95.5385,PARTIALLY MISSING
CRGVLNG2,float64,457670,20811,436859,95.4528,PARTIALLY MISSING
CRGVHRS2,float64,457670,20865,436805,95.441,PARTIALLY MISSING
CRGVHOU2,float64,457670,20915,436755,95.4301,PARTIALLY MISSING
CRGVPER2,float64,457670,20948,436722,95.4229,PARTIALLY MISSING
CRGVNURS,float64,457670,20977,436693,95.4166,PARTIALLY MISSING
CRGVPRB4,float64,457670,21060,436610,95.3984,PARTIALLY MISSING
CRGVREL5,float64,457670,21119,436551,95.3855,PARTIALLY MISSING
