Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
STOPSMK2,float64,457670,24482,433188,94.6507,PARTIALLY MISSING
MENTCIGS,float64,457670,25875,431795,94.3464,PARTIALLY MISSING
SIGMTES1,float64,457670,31429,426241,93.1328,PARTIALLY MISSING
ARTHEXER,float64,457670,34252,423418,92.516,PARTIALLY MISSING
GUNLOAD,float64,457670,37972,419698,91.7032,PARTIALLY MISSING
ACEADNED,float64,457670,38748,418922,91.5336,PARTIALLY MISSING
ACEADSAF,float64,457670,38804,418866,91.5214,PARTIALLY MISSING
ACEHVSEX,float64,457670,38883,418787,91.5041,PARTIALLY MISSING
ACETTHEM,float64,457670,38925,418745,91.495,PARTIALLY MISSING
ACETOUCH,float64,457670,38959,418711,91.4875,PARTIALLY MISSING
ACESWEAR,float64,457670,39007,418663,91.477,PARTIALLY MISSING
ACEHURT1,float64,457670,39051,418619,91.4674,PARTIALLY MISSING
ACEPUNCH,float64,457670,39096,418574,91.4576,PARTIALLY MISSING
ACEDIVRC,float64,457670,39143,418527,91.4473,PARTIALLY MISSING
ACEPRISN,float64,457670,39167,418503,91.4421,PARTIALLY MISSING
ACEDRUGS,float64,457670,39183,418487,91.4386,PARTIALLY MISSING
ACEDRINK,float64,457670,39204,418466,91.434,PARTIALLY MISSING
ACEDEPRS,float64,457670,39283,418387,91.4167,PARTIALLY MISSING
LCSCTWHN,float64,457670,39364,418306,91.399,PARTIALLY MISSING
RESPSLC1,float64,457670,47193,410477,89.6884,PARTIALLY MISSING
CAGEG,float64,457670,48205,409465,89.4673,PARTIALLY MISSING
CASTHDX2,float64,457670,48333,409337,89.4393,PARTIALLY MISSING
RCSRLTN2,float64,457670,55243,402427,87.9295,PARTIALLY MISSING
_CLLCPWT,float64,457670,55913,401757,87.7831,PARTIALLY MISSING
STOLTEST,float64,457670,56956,400714,87.5552,PARTIALLY MISSING
_CRACE1,float64,457670,58599,399071,87.1962,PARTIALLY MISSING
LASTSMK2,float64,457670,62051,395619,86.442,PARTIALLY MISSING
DIABAGE4,float64,457670,65809,391861,85.6209,PARTIALLY MISSING
_HPV5YR1,float64,457670,70182,387488,84.6654,PARTIALLY MISSING
STOOLDN2,float64,457670,71816,385854,84.3083,PARTIALLY MISSING
ASTHNOW,float64,457670,72037,385633,84.2601,PARTIALLY MISSING
SMALSTOL,float64,457670,72165,385505,84.2321,PARTIALLY MISSING
VIRCOLO1,float64,457670,72180,385490,84.2288,PARTIALLY MISSING
LANDSEX3,float64,457670,78571,379099,82.8324,PARTIALLY MISSING
CIMEMLO1,float64,457670,79110,378560,82.7146,PARTIALLY MISSING
MSCODE,float64,457670,80024,377646,82.5149,PARTIALLY MISSING
PREGNANT,float64,457670,81363,376307,82.2223,PARTIALLY MISSING
NUMADULT,float64,457670,81718,375952,82.1448,PARTIALLY MISSING
NUMHHOL4,float64,457670,81729,375941,82.1424,PARTIALLY MISSING
LADULT1,float64,457670,81730,375940,82.1422,PARTIALLY MISSING
CELPHON1,float64,457670,81730,375940,82.1422,PARTIALLY MISSING
STATERE1,float64,457670,81730,375940,82.1422,PARTIALLY MISSING
CTELENM1,float64,457670,81730,375940,82.1422,PARTIALLY MISSING
PVTRESD1,float64,457670,81730,375940,82.1422,PARTIALLY MISSING
_PAPHPV1,float64,457670,92091,365579,79.8783,PARTIALLY MISSING
CAREGIV1,float64,457670,96287,361383,78.9615,PARTIALLY MISSING
_RFPAP37,float64,457670,103214,354456,77.4479,PARTIALLY MISSING
FIREARM5,float64,457670,105667,352003,76.912,PARTIALLY MISSING
SSBFRUT3,float64,457670,115316,342354,74.8037,PARTIALLY MISSING
SSBSUGR2,float64,457670,115602,342068,74.7412,PARTIALLY MISSING
_LCSYQTS,float64,457670,120603,337067,73.6485,PARTIALLY MISSING
LCSLAST_,float64,457670,120603,337067,73.6485,PARTIALLY MISSING
SOMALE,float64,457670,123077,334593,73.1079,PARTIALLY MISSING
_MAM402Y,float64,457670,133952,323718,70.7317,PARTIALLY MISSING
SOFEMALE,float64,457670,135417,322253,70.4117,PARTIALLY MISSING
MARIJAN1,float64,457670,136832,320838,70.1025,PARTIALLY MISSING
_DUALCOR,float64,457670,137627,320043,69.9288,PARTIALLY MISSING
HIVTSTD3,float64,457670,143352,314318,68.6779,PARTIALLY MISSING
_PACKYRS,float64,457670,147270,310400,67.8218,PARTIALLY MISSING
_LCSYSMK,float64,457670,151700,305970,66.8538,PARTIALLY MISSING
_PACKDAY,float64,457670,152692,304978,66.6371,PARTIALLY MISSING
LCSNUMC_,float64,457670,152692,304978,66.6371,PARTIALLY MISSING
LCSNUMCG,float64,457670,158047,299623,65.467,PARTIALLY MISSING
PDIABTS1,float64,457670,159163,298507,65.2232,PARTIALLY MISSING
PREDIAB2,float64,457670,159195,298475,65.2162,PARTIALLY MISSING
LCSFIRST,float64,457670,164110,293560,64.1423,PARTIALLY MISSING
SMOKDAY2,float64,457670,167076,290594,63.4942,PARTIALLY MISSING
HOWLONG,float64,457670,176661,281009,61.3999,PARTIALLY MISSING
CRVCLHPV,float64,457670,177585,280085,61.198,PARTIALLY MISSING
CRVCLPAP,float64,457670,177843,279827,61.1417,PARTIALLY MISSING
CRVCLCNC,float64,457670,178150,279520,61.0746,PARTIALLY MISSING
_PNEUMO3,float64,457670,179344,278326,60.8137,PARTIALLY MISSING
_FLSHOT7,float64,457670,179344,278326,60.8137,PARTIALLY MISSING
_ALTETH3,float64,457670,179344,278326,60.8137,PARTIALLY MISSING
LCSSCNCR,float64,457670,182177,275493,60.1947,PARTIALLY MISSING
_RFMAM23,float64,457670,188749,268921,58.7587,PARTIALLY MISSING
IMFVPLA5,float64,457670,195741,261929,57.231,PARTIALLY MISSING
FLSHTMY3,float64,457670,196157,261513,57.1401,PARTIALLY MISSING
HOWSAFE1,float64,457670,201389,256281,55.9969,PARTIALLY MISSING
SDHTRNSP,float64,457670,201734,255936,55.9215,PARTIALLY MISSING
SDHUTILS,float64,457670,202008,255662,55.8616,PARTIALLY MISSING
SDHBILLS,float64,457670,202218,255452,55.8158,PARTIALLY MISSING
SDHFOOD1,float64,457670,202454,255216,55.7642,PARTIALLY MISSING
FOODSTMP,float64,457670,202759,254911,55.6976,PARTIALLY MISSING
SDHEMPLY,float64,457670,202983,254687,55.6486,PARTIALLY MISSING
SDLONELY,float64,457670,203201,254469,55.601,PARTIALLY MISSING
EMTSUPRT,float64,457670,203462,254208,55.544,PARTIALLY MISSING
LSATISFY,float64,457670,203764,253906,55.478,PARTIALLY MISSING
_CRVSCRN,float64,457670,205943,251727,55.0019,PARTIALLY MISSING
MAXDRNKS,float64,457670,209248,248422,54.2797,PARTIALLY MISSING
DRNK3GE5,float64,457670,209682,247988,54.1849,PARTIALLY MISSING
AVEDRNK4,float64,457670,210151,247519,54.0824,PARTIALLY MISSING
_SBONTI2,float64,457670,221112,236558,51.6875,PARTIALLY MISSING
COLNTES1,float64,457670,221874,235796,51.521,PARTIALLY MISSING
HADHYST2,float64,457670,222795,234875,51.3197,PARTIALLY MISSING
_VIRCOL2,float64,457670,225003,232667,50.8373,PARTIALLY MISSING
_STOLDN2,float64,457670,225024,232646,50.8327,PARTIALLY MISSING
_RFBLDS6,float64,457670,225548,232122,50.7182,PARTIALLY MISSING
CERVSCRN,float64,457670,226397,231273,50.5327,PARTIALLY MISSING
_CLNSCP2,float64,457670,227145,230525,50.3693,PARTIALLY MISSING
COLNSIGM,float64,457670,227187,230483,50.3601,PARTIALLY MISSING
_CRCREC3,float64,457670,227647,230023,50.2596,PARTIALLY MISSING
HADMAM,float64,457670,227742,229928,50.2388,PARTIALLY MISSING
_SGMSCP2,float64,457670,227936,229734,50.1964,PARTIALLY MISSING
_SGMS102,float64,457670,227936,229734,50.1964,PARTIALLY MISSING
