Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
HIVRISK5,float64,457670,412034,45636,9.9714,PARTIALLY MISSING
_AIDTST4,float64,457670,414178,43492,9.5029,PARTIALLY MISSING
HIVTST7,float64,457670,414178,43492,9.5029,PARTIALLY MISSING
_BMI5,float64,457670,414633,43037,9.4035,PARTIALLY MISSING
_BMI5CAT,float64,457670,414633,43037,9.4035,PARTIALLY MISSING
PNEUVAC4,float64,457670,414857,42813,9.3546,PARTIALLY MISSING
FLUSHOT7,float64,457670,416165,41505,9.0688,PARTIALLY MISSING
ALCDAY4,float64,457670,418449,39221,8.5697,PARTIALLY MISSING
LCSCTSC1,float64,457670,421009,36661,8.0104,PARTIALLY MISSING
WTKG3,float64,457670,421278,36392,7.9516,PARTIALLY MISSING
HTIN4,float64,457670,425832,31838,6.9565,PARTIALLY MISSING
ECIGNOW3,float64,457670,426994,30676,6.7026,PARTIALLY MISSING
USENOW3,float64,457670,428029,29641,6.4765,PARTIALLY MISSING
SMOKE100,float64,457670,428810,28860,6.3059,PARTIALLY MISSING
HTM4,float64,457670,433610,24060,5.2571,PARTIALLY MISSING
DIFFALON,float64,457670,437137,20533,4.4864,PARTIALLY MISSING
DIFFDRES,float64,457670,438211,19459,4.2518,PARTIALLY MISSING
DIFFWALK,float64,457670,438998,18672,4.0798,PARTIALLY MISSING
DECIDE,float64,457670,440229,17441,3.8108,PARTIALLY MISSING
BLIND,float64,457670,441422,16248,3.5502,PARTIALLY MISSING
DEAF,float64,457670,442592,15078,3.2945,PARTIALLY MISSING
_URBSTAT,float64,457670,443047,14623,3.1951,PARTIALLY MISSING
_METSTAT,float64,457670,443047,14623,3.1951,PARTIALLY MISSING
HEIGHT3,float64,457670,444270,13400,2.9279,PARTIALLY MISSING
WEIGHT2,float64,457670,445337,12333,2.6947,PARTIALLY MISSING
INCOME3,float64,457670,448401,9269,2.0253,PARTIALLY MISSING
CHILDREN,float64,457670,452064,5606,1.2249,PARTIALLY MISSING
_MICHD,float64,457670,452464,5206,1.1375,PARTIALLY MISSING
EMPLOY1,float64,457670,454367,3303,0.7217,PARTIALLY MISSING
_DRDXAR2,float64,457670,455097,2573,0.5622,PARTIALLY MISSING
VETERAN3,float64,457670,456435,1235,0.2698,PARTIALLY MISSING
CPDEMO1C,float64,457670,457657,13,0.0028,PARTIALLY MISSING
MARITAL,float64,457670,457661,9,0.002,PARTIALLY MISSING
RENTHOM1,float64,457670,457662,8,0.0017,PARTIALLY MISSING
CHCCOPD3,float64,457670,457663,7,0.0015,PARTIALLY MISSING
EDUCA,float64,457670,457663,7,0.0015,PARTIALLY MISSING
MEDCOST1,float64,457670,457664,6,0.0013,PARTIALLY MISSING
CHCKDNY2,float64,457670,457664,6,0.0013,PARTIALLY MISSING
CHCSCNC1,float64,457670,457664,6,0.0013,PARTIALLY MISSING
HAVARTH4,float64,457670,457665,5,0.0011,PARTIALLY MISSING
ADDEPEV3,float64,457670,457665,5,0.0011,PARTIALLY MISSING
RMVTETH4,float64,457670,457665,5,0.0011,PARTIALLY MISSING
_MRACE1,float64,457670,457665,5,0.0011,PARTIALLY MISSING
PHYSHLTH,float64,457670,457665,5,0.0011,PARTIALLY MISSING
GENHLTH,float64,457670,457665,5,0.0011,PARTIALLY MISSING
CHCOCNC1,float64,457670,457665,5,0.0011,PARTIALLY MISSING
DIABETE4,float64,457670,457666,4,0.0009,PARTIALLY MISSING
PRIMINS2,float64,457670,457667,3,0.0007,PARTIALLY MISSING
EXERANY2,float64,457670,457667,3,0.0007,PARTIALLY MISSING
CVDSTRK3,float64,457670,457667,3,0.0007,PARTIALLY MISSING
ASTHMA3,float64,457670,457667,3,0.0007,PARTIALLY MISSING
MENTHLTH,float64,457670,457667,3,0.0007,PARTIALLY MISSING
PERSDOC3,float64,457670,457667,3,0.0007,PARTIALLY MISSING
CVDCRHD4,float64,457670,457667,3,0.0007,PARTIALLY MISSING
LASTDEN4,float64,457670,457668,2,0.0004,PARTIALLY MISSING
CVDINFR4,float64,457670,457668,2,0.0004,PARTIALLY MISSING
CHECKUP1,float64,457670,457668,2,0.0004,PARTIALLY MISSING
DROCDY4_,float64,457670,457669,1,0.0002,PARTIALLY MISSING
_CHLDCNT,float64,457670,457669,1,0.0002,PARTIALLY MISSING
