Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
IYEAR,object,457670,457670,0,0.0,COMPLETE
IMONTH,object,457670,457670,0,0.0,COMPLETE
IDAY,object,457670,457670,0,0.0,COMPLETE
FMONTH,float64,457670,457670,0,0.0,COMPLETE
SEQNO,object,457670,457670,0,0.0,COMPLETE
DISPCODE,float64,457670,457670,0,0.0,COMPLETE
_PSU,float64,457670,457670,0,0.0,COMPLETE
_SMOKER3,float64,457670,457670,0,0.0,COMPLETE
_CURECI3,float64,457670,457670,0,0.0,COMPLETE
_RFSMOK3,float64,457670,457670,0,0.0,COMPLETE
_STATE,float64,457670,457670,0,0.0,COMPLETE
_LCSAGE,float64,457670,457670,0,0.0,COMPLETE
IDATE,object,457670,457670,0,0.0,COMPLETE
_STRWT,float64,457670,457670,0,0.0,COMPLETE
_STSTR,float64,457670,457670,0,0.0,COMPLETE
QSTLANG,float64,457670,457670,0,0.0,COMPLETE
QSTVER,float64,457670,457670,0,0.0,COMPLETE
_IMPRACE,float64,457670,457670,0,0.0,COMPLETE
_WT2RAKE,float64,457670,457670,0,0.0,COMPLETE
_RAWRAKE,float64,457670,457670,0,0.0,COMPLETE
_PHYS14D,float64,457670,457670,0,0.0,COMPLETE
_RFHLTH,float64,457670,457670,0,0.0,COMPLETE
_LLCPWT,float64,457670,457670,0,0.0,COMPLETE
_LLCPWT2,float64,457670,457670,0,0.0,COMPLETE
_DUALUSE,float64,457670,457670,0,0.0,COMPLETE
_AGEG5YR,float64,457670,457670,0,0.0,COMPLETE
_SEX,float64,457670,457670,0,0.0,COMPLETE
_RACEGR3,float64,457670,457670,0,0.0,COMPLETE
_DENVST3,float64,457670,457670,0,0.0,COMPLETE
_EXTETH3,float64,457670,457670,0,0.0,COMPLETE
_CASTHM1,float64,457670,457670,0,0.0,COMPLETE
_LTASTH1,float64,457670,457670,0,0.0,COMPLETE
_ASTHMS1,float64,457670,457670,0,0.0,COMPLETE
_HISPANC,float64,457670,457670,0,0.0,COMPLETE
_RACE,float64,457670,457670,0,0.0,COMPLETE
_RACEG21,float64,457670,457670,0,0.0,COMPLETE
_HCVU654,float64,457670,457670,0,0.0,COMPLETE
_MENT14D,float64,457670,457670,0,0.0,COMPLETE
_TOTINDA,float64,457670,457670,0,0.0,COMPLETE
_RACEPRV,float64,457670,457670,0,0.0,COMPLETE
_AGE80,float64,457670,457670,0,0.0,COMPLETE
_AGE65YR,float64,457670,457670,0,0.0,COMPLETE
_AGE_G,float64,457670,457670,0,0.0,COMPLETE
_HLTHPL2,float64,457670,457670,0,0.0,COMPLETE
_EDUCAG,float64,457670,457670,0,0.0,COMPLETE
_INCOMG1,float64,457670,457670,0,0.0,COMPLETE
_RFBMI5,float64,457670,457670,0,0.0,COMPLETE
SEXVAR,float64,457670,457670,0,0.0,COMPLETE
_DRNKWK3,float64,457670,457670,0,0.0,COMPLETE
_RFBING6,float64,457670,457670,0,0.0,COMPLETE
DRNKANY6,float64,457670,457670,0,0.0,COMPLETE
_RFDRHV9,float64,457670,457670,0,0.0,COMPLETE
