Variable,Data Type,Total Rows,Non-Missing,Missing Count,Missing %,Status
CCLGHOUS,float64,457670,1426,456244,99.6884,PARTIALLY MISSING
CELLSEX3,float64,457670,372357,85313,18.6407,PARTIALLY MISSING
HHADULT,float64,457670,375709,81961,17.9083,PARTIALLY MISSING
CSTATE1,float64,457670,375938,81732,17.8583,PARTIALLY MISSING
CADULT1,float64,457670,375938,81732,17.8583,PARTIALLY MISSING
CELLFON5,float64,457670,375939,81731,17.8581,PARTIALLY MISSING
LANDLINE,float64,457670,375939,81731,17.8581,PARTIALLY MISSING
PVTRESD3,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
SAFETIME,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
CTELNUM1,float64,457670,375940,81730,17.8578,PARTIALLY MISSING
