column,dtype,total,non_null,null_count,null_pct
RCSGEND1,float64,457670,0,457670,100
COLGHOUS,float64,457670,14,457656,100
RCSXBRTH,float64,457670,0,457670,100
CSRVCTL2,float64,457670,582,457088,99.87
ICFQSTVR,float64,457670,739,456931,99.84
CCLGHOUS,float64,457670,1426,456244,99.69
HPVDSHT,float64,457670,2020,455650,99.56
CSRVINST,float64,457670,2625,455045,99.43
NOBCUSE8,float64,457670,2771,454899,99.39
LASTSIG4,float64,457670,3227,454443,99.29
CSRVCLIN,float64,457670,3542,454128,99.23
CSRVDEIN,float64,457670,3544,454126,99.23
CSRVRTRN,float64,457670,3552,454118,99.22
CSRVSUM,float64,457670,3556,454114,99.22
CSRVDOC1,float64,457670,3562,454108,99.22
CSRVINSR,float64,457670,3547,454123,99.22
HPVADSH1,float64,457670,3627,454043,99.21
CASTHNO2,float64,457670,4805,452865,98.95
NUMPHON4,float64,457670,5622,452048,98.77
CSRVPAIN,float64,457670,6006,451664,98.69
CSRVTRT3,float64,457670,6355,451315,98.61
SHINGLE2,float64,457670,7916,449754,98.27
USEMRJN4,float64,457670,8378,449292,98.17
PSASUGS1,float64,457670,8972,448698,98.04
PCPSARS2,float64,457670,8989,448681,98.04
PSATIME1,float64,457670,9005,448665,98.03
VCLNTES2,float64,457670,10125,447545,97.79
TETANUS1,float64,457670,11377,446293,97.51
LOADULK2,float64,457670,12093,445577,97.36
TYPCNTR9,float64,457670,12184,445486,97.34
MENTECIG,float64,457670,12878,444792,97.19
CDSOCIA1,float64,457670,13017,444653,97.16
CDWORRY,float64,457670,13063,444607,97.15
CDHOUS1,float64,457670,13034,444636,97.15
CDDISCU1,float64,457670,13050,444620,97.15
FEETSORE,float64,457670,13792,443878,96.99
DIABEDU1,float64,457670,13797,443873,96.99
DIABEYE1,float64,457670,13800,443870,96.98
CHKHEMO3,float64,457670,13811,443859,96.98
DIABTYPE,float64,457670,13818,443852,96.98
INSULIN1,float64,457670,13815,443855,96.98
EYEEXAM1,float64,457670,13804,443866,96.98
CNCRTYP2,float64,457670,14428,443242,96.85
CNCRAGE,float64,457670,14448,443222,96.84
CNCRDIFF,float64,457670,14872,442798,96.75
PFPPRVN4,float64,457670,15113,442557,96.7
HPVADVC4,float64,457670,16702,440968,96.35
PCSTALK2,float64,457670,17474,440196,96.18
SDNATES1,float64,457670,17493,440177,96.18
BLDSTFIT,float64,457670,17549,440121,96.17
PSATEST1,float64,457670,17579,440091,96.16
CRGVALZD,float64,457670,18626,439044,95.93
MARJDAB,float64,457670,19459,438211,95.75
MARJOTHR,float64,457670,19451,438219,95.75
MARJVAPE,float64,457670,19466,438204,95.75
MARJEAT,float64,457670,19476,438194,95.74
MARJSMOK,float64,457670,19494,438176,95.74
HADSEX,float64,457670,20419,437251,95.54
CRGVLNG2,float64,457670,20811,436859,95.45
CRGVHRS2,float64,457670,20865,436805,95.44
CRGVHOU2,float64,457670,20915,436755,95.43
CRGVPER2,float64,457670,20948,436722,95.42
CRGVNURS,float64,457670,20977,436693,95.42
CRGVPRB4,float64,457670,21060,436610,95.4
CRGVREL5,float64,457670,21119,436551,95.39
STOPSMK2,float64,457670,24482,433188,94.65
MENTCIGS,float64,457670,25875,431795,94.35
SIGMTES1,float64,457670,31429,426241,93.13
ARTHEXER,float64,457670,34252,423418,92.52
GUNLOAD,float64,457670,37972,419698,91.7
ACEADNED,float64,457670,38748,418922,91.53
ACEADSAF,float64,457670,38804,418866,91.52
ACEHVSEX,float64,457670,38883,418787,91.5
ACETTHEM,float64,457670,38925,418745,91.49
ACETOUCH,float64,457670,38959,418711,91.49
ACESWEAR,float64,457670,39007,418663,91.48
ACEHURT1,float64,457670,39051,418619,91.47
ACEPUNCH,float64,457670,39096,418574,91.46
ACEDIVRC,float64,457670,39143,418527,91.45
ACEDRUGS,float64,457670,39183,418487,91.44
ACEPRISN,float64,457670,39167,418503,91.44
ACEDRINK,float64,457670,39204,418466,91.43
ACEDEPRS,float64,457670,39283,418387,91.42
LCSCTWHN,float64,457670,39364,418306,91.4
RESPSLC1,float64,457670,47193,410477,89.69
CAGEG,float64,457670,48205,409465,89.47
CASTHDX2,float64,457670,48333,409337,89.44
RCSRLTN2,float64,457670,55243,402427,87.93
_CLLCPWT,float64,457670,55913,401757,87.78
STOLTEST,float64,457670,56956,400714,87.56
_CRACE1,float64,457670,58599,399071,87.2
LASTSMK2,float64,457670,62051,395619,86.44
DIABAGE4,float64,457670,65809,391861,85.62
_HPV5YR1,float64,457670,70182,387488,84.67
STOOLDN2,float64,457670,71816,385854,84.31
ASTHNOW,float64,457670,72037,385633,84.26
VIRCOLO1,float64,457670,72180,385490,84.23
SMALSTOL,float64,457670,72165,385505,84.23
LANDSEX3,float64,457670,78571,379099,82.83
CIMEMLO1,float64,457670,79110,378560,82.71
MSCODE,float64,457670,80024,377646,82.51
PREGNANT,float64,457670,81363,376307,82.22
PVTRESD1,float64,457670,81730,375940,82.14
CELPHON1,float64,457670,81730,375940,82.14
LADULT1,float64,457670,81730,375940,82.14
NUMHHOL4,float64,457670,81729,375941,82.14
STATERE1,float64,457670,81730,375940,82.14
NUMADULT,float64,457670,81718,375952,82.14
CTELENM1,float64,457670,81730,375940,82.14
_PAPHPV1,float64,457670,92091,365579,79.88
CAREGIV1,float64,457670,96287,361383,78.96
_RFPAP37,float64,457670,103214,354456,77.45
FIREARM5,float64,457670,105667,352003,76.91
SSBFRUT3,float64,457670,115316,342354,74.8
SSBSUGR2,float64,457670,115602,342068,74.74
_LCSYQTS,float64,457670,120603,337067,73.65
LCSLAST_,float64,457670,120603,337067,73.65
SOMALE,float64,457670,123077,334593,73.11
_MAM402Y,float64,457670,133952,323718,70.73
SOFEMALE,float64,457670,135417,322253,70.41
MARIJAN1,float64,457670,136832,320838,70.1
_DUALCOR,float64,457670,137627,320043,69.93
HIVTSTD3,float64,457670,143352,314318,68.68
_PACKYRS,float64,457670,147270,310400,67.82
_LCSYSMK,float64,457670,151700,305970,66.85
_PACKDAY,float64,457670,152692,304978,66.64
LCSNUMC_,float64,457670,152692,304978,66.64
LCSNUMCG,float64,457670,158047,299623,65.47
PDIABTS1,float64,457670,159163,298507,65.22
PREDIAB2,float64,457670,159195,298475,65.22
LCSFIRST,float64,457670,164110,293560,64.14
SMOKDAY2,float64,457670,167076,290594,63.49
HOWLONG,float64,457670,176661,281009,61.4
CRVCLHPV,float64,457670,177585,280085,61.2
CRVCLPAP,float64,457670,177843,279827,61.14
CRVCLCNC,float64,457670,178150,279520,61.07
_PNEUMO3,float64,457670,179344,278326,60.81
_FLSHOT7,float64,457670,179344,278326,60.81
_ALTETH3,float64,457670,179344,278326,60.81
LCSSCNCR,float64,457670,182177,275493,60.19
_RFMAM23,float64,457670,188749,268921,58.76
IMFVPLA5,float64,457670,195741,261929,57.23
FLSHTMY3,float64,457670,196157,261513,57.14
HOWSAFE1,float64,457670,201389,256281,56
SDHTRNSP,float64,457670,201734,255936,55.92
SDHUTILS,float64,457670,202008,255662,55.86
SDHBILLS,float64,457670,202218,255452,55.82
SDHFOOD1,float64,457670,202454,255216,55.76
FOODSTMP,float64,457670,202759,254911,55.7
SDHEMPLY,float64,457670,202983,254687,55.65
SDLONELY,float64,457670,203201,254469,55.6
EMTSUPRT,float64,457670,203462,254208,55.54
LSATISFY,float64,457670,203764,253906,55.48
_CRVSCRN,float64,457670,205943,251727,55
MAXDRNKS,float64,457670,209248,248422,54.28
DRNK3GE5,float64,457670,209682,247988,54.18
AVEDRNK4,float64,457670,210151,247519,54.08
_SBONTI2,float64,457670,221112,236558,51.69
COLNTES1,float64,457670,221874,235796,51.52
HADHYST2,float64,457670,222795,234875,51.32
_VIRCOL2,float64,457670,225003,232667,50.84
_STOLDN2,float64,457670,225024,232646,50.83
_RFBLDS6,float64,457670,225548,232122,50.72
CERVSCRN,float64,457670,226397,231273,50.53
_CLNSCP2,float64,457670,227145,230525,50.37
COLNSIGM,float64,457670,227187,230483,50.36
_CRCREC3,float64,457670,227647,230023,50.26
HADMAM,float64,457670,227742,229928,50.24
_SGMSCP2,float64,457670,227936,229734,50.2
_SGMS102,float64,457670,227936,229734,50.2
HEATTBCO,float64,457670,233313,224357,49.02
POORHLTH,float64,457670,268249,189421,41.39
_HADCOLN,float64,457670,294788,162882,35.59
_HADSIGM,float64,457670,294788,162882,35.59
COLNCNCR,float64,457670,299425,158245,34.58
HADSIGM4,float64,457670,301072,156598,34.22
_CHISPNC,float64,457670,323776,133894,29.26
CELLSEX3,float64,457670,372357,85313,18.64
HHADULT,float64,457670,375709,81961,17.91
CTELNUM1,float64,457670,375940,81730,17.86
CADULT1,float64,457670,375938,81732,17.86
PVTRESD3,float64,457670,375940,81730,17.86
SAFETIME,float64,457670,375940,81730,17.86
LANDLINE,float64,457670,375939,81731,17.86
CSTATE1,float64,457670,375938,81732,17.86
CELLFON5,float64,457670,375939,81731,17.86
_LCSCTSN,float64,457670,393433,64237,14.04
_LCSELIG,float64,457670,406226,51444,11.24
_LCSSMKG,float64,457670,406226,51444,11.24
_LCSPSTF,float64,457670,406226,51444,11.24
HIVRISK5,float64,457670,412034,45636,9.97
_AIDTST4,float64,457670,414178,43492,9.5
HIVTST7,float64,457670,414178,43492,9.5
_BMI5,float64,457670,414633,43037,9.4
_BMI5CAT,float64,457670,414633,43037,9.4
PNEUVAC4,float64,457670,414857,42813,9.35
FLUSHOT7,float64,457670,416165,41505,9.07
ALCDAY4,float64,457670,418449,39221,8.57
LCSCTSC1,float64,457670,421009,36661,8.01
WTKG3,float64,457670,421278,36392,7.95
HTIN4,float64,457670,425832,31838,6.96
ECIGNOW3,float64,457670,426994,30676,6.7
USENOW3,float64,457670,428029,29641,6.48
SMOKE100,float64,457670,428810,28860,6.31
HTM4,float64,457670,433610,24060,5.26
DIFFALON,float64,457670,437137,20533,4.49
DIFFDRES,float64,457670,438211,19459,4.25
DIFFWALK,float64,457670,438998,18672,4.08
DECIDE,float64,457670,440229,17441,3.81
BLIND,float64,457670,441422,16248,3.55
DEAF,float64,457670,442592,15078,3.29
_URBSTAT,float64,457670,443047,14623,3.2
_METSTAT,float64,457670,443047,14623,3.2
HEIGHT3,float64,457670,444270,13400,2.93
WEIGHT2,float64,457670,445337,12333,2.69
INCOME3,float64,457670,448401,9269,2.03
CHILDREN,float64,457670,452064,5606,1.22
_MICHD,float64,457670,452464,5206,1.14
EMPLOY1,float64,457670,454367,3303,0.72
_DRDXAR2,float64,457670,455097,2573,0.56
VETERAN3,float64,457670,456435,1235,0.27
SEQNO,object,457670,457670,0,0
DISPCODE,float64,457670,457670,0,0
_PSU,float64,457670,457670,0,0
_SMOKER3,float64,457670,457670,0,0
_CURECI3,float64,457670,457670,0,0
_RFSMOK3,float64,457670,457670,0,0
_STATE,float64,457670,457670,0,0
_LCSAGE,float64,457670,457670,0,0
IDATE,object,457670,457670,0,0
IMONTH,object,457670,457670,0,0
IDAY,object,457670,457670,0,0
FMONTH,float64,457670,457670,0,0
IYEAR,object,457670,457670,0,0
MARITAL,float64,457670,457661,9,0
EDUCA,float64,457670,457663,7,0
CPDEMO1C,float64,457670,457657,13,0
_PHYS14D,float64,457670,457670,0,0
_RFHLTH,float64,457670,457670,0,0
_LLCPWT,float64,457670,457670,0,0
_LLCPWT2,float64,457670,457670,0,0
_DUALUSE,float64,457670,457670,0,0
_IMPRACE,float64,457670,457670,0,0
_WT2RAKE,float64,457670,457670,0,0
_RAWRAKE,float64,457670,457670,0,0
ADDEPEV3,float64,457670,457665,5,0
_STRWT,float64,457670,457670,0,0
_STSTR,float64,457670,457670,0,0
QSTLANG,float64,457670,457670,0,0
QSTVER,float64,457670,457670,0,0
CHCSCNC1,float64,457670,457664,6,0
CHCOCNC1,float64,457670,457665,5,0
CHCCOPD3,float64,457670,457663,7,0
LASTDEN4,float64,457670,457668,2,0
EXERANY2,float64,457670,457667,3,0
CHECKUP1,float64,457670,457668,2,0
ASTHMA3,float64,457670,457667,3,0
CVDSTRK3,float64,457670,457667,3,0
CVDCRHD4,float64,457670,457667,3,0
CVDINFR4,float64,457670,457668,2,0
RMVTETH4,float64,457670,457665,5,0
PERSDOC3,float64,457670,457667,3,0
PRIMINS2,float64,457670,457667,3,0
MEDCOST1,float64,457670,457664,6,0
RENTHOM1,float64,457670,457662,8,0
DIABETE4,float64,457670,457666,4,0
HAVARTH4,float64,457670,457665,5,0
CHCKDNY2,float64,457670,457664,6,0
_TOTINDA,float64,457670,457670,0,0
_AGEG5YR,float64,457670,457670,0,0
_RACEGR3,float64,457670,457670,0,0
_SEX,float64,457670,457670,0,0
_RACEPRV,float64,457670,457670,0,0
_AGE80,float64,457670,457670,0,0
_AGE65YR,float64,457670,457670,0,0
_AGE_G,float64,457670,457670,0,0
_HLTHPL2,float64,457670,457670,0,0
_DENVST3,float64,457670,457670,0,0
_LTASTH1,float64,457670,457670,0,0
_CASTHM1,float64,457670,457670,0,0
_ASTHMS1,float64,457670,457670,0,0
_MRACE1,float64,457670,457665,5,0
_HISPANC,float64,457670,457670,0,0
_RACE,float64,457670,457670,0,0
_RACEG21,float64,457670,457670,0,0
_MENT14D,float64,457670,457670,0,0
_EXTETH3,float64,457670,457670,0,0
_HCVU654,float64,457670,457670,0,0
_CHLDCNT,float64,457670,457669,1,0
SEXVAR,float64,457670,457670,0,0
GENHLTH,float64,457670,457665,5,0
PHYSHLTH,float64,457670,457665,5,0
MENTHLTH,float64,457670,457667,3,0
_EDUCAG,float64,457670,457670,0,0
_INCOMG1,float64,457670,457670,0,0
_RFBMI5,float64,457670,457670,0,0
DRNKANY6,float64,457670,457670,0,0
_DRNKWK3,float64,457670,457670,0,0
_RFBING6,float64,457670,457670,0,0
DROCDY4_,float64,457670,457669,1,0
_RFDRHV9,float64,457670,457670,0,0
